objectid,classification,endyear,medium,title,uuid,iiifurl,iiifthumburl,width,height,maxpixels,created
218084,Photograph,1900-1920,photogravure,Indian Whalers Homeward Bound from the Pacific,bc4ec766-cd99-4f4f-a127-d757ff8d0022,https://api.nga.gov/iiif/bc4ec766-cd99-4f4f-a127-d757ff8d0022,"https://api.nga.gov/iiif/bc4ec766-cd99-4f4f-a127-d757ff8d0022/full/!200,200/0/default.jpg",6927,5431,640.0,2019-07-10 18:11:39-04
213441,Photograph,1900-1920,stereoscopic albumen print,The Full Moon. Yerkes Observatory.,4fabcc43-b775-4009-8c9d-bddfd94f8fd1,https://api.nga.gov/iiif/4fabcc43-b775-4009-8c9d-bddfd94f8fd1,"https://api.nga.gov/iiif/4fabcc43-b775-4009-8c9d-bddfd94f8fd1/full/!200,200/0/default.jpg",11181,5499,640.0,2018-10-15 21:04:13-04
212349,Photograph,1900-1920,gelatin silver print,"Paris Flood, rue Jacob",41663d29-1365-4ad7-b1bd-72d8faa01219,https://api.nga.gov/iiif/41663d29-1365-4ad7-b1bd-72d8faa01219,"https://api.nga.gov/iiif/41663d29-1365-4ad7-b1bd-72d8faa01219/full/!200,200/0/default.jpg",5562,6951,640.0,2018-05-17 16:41:57-04
221194,Photograph,1900-1920,gelatin silver print on paper,"Reward poster for escaped convict, John Hackett, Walla Walla, Washington",ed3f7237-a790-4c46-894b-c133c4fdff6f,https://api.nga.gov/iiif/ed3f7237-a790-4c46-894b-c133c4fdff6f,"https://api.nga.gov/iiif/ed3f7237-a790-4c46-894b-c133c4fdff6f/full/!200,200/0/default.jpg",7982,10370,,2020-11-18 11:26:59-05
222102,Photograph,1900-1920,gelatin silver print,View of San Francisco from Fort Baker,11c7dbdf-5951-4cd6-9c1a-0674bb9caad2,https://api.nga.gov/iiif/11c7dbdf-5951-4cd6-9c1a-0674bb9caad2,"https://api.nga.gov/iiif/11c7dbdf-5951-4cd6-9c1a-0674bb9caad2/full/!200,200/0/default.jpg",10915,8503,640.0,2021-11-03 16:04:36-04
226322,Photograph,1900-1920,photogravure,The Tunnel Builders,3d6dcc19-0fca-4655-a87d-875195478480,https://api.nga.gov/iiif/3d6dcc19-0fca-4655-a87d-875195478480,"https://api.nga.gov/iiif/3d6dcc19-0fca-4655-a87d-875195478480/full/!200,200/0/default.jpg",8499,10266,640.0,2023-02-06 20:02:00-05
204624,Photograph,1900-1920,photogravure,Excavating—New York,83eed4c1-533c-4945-bda4-8031a1f05079,https://api.nga.gov/iiif/83eed4c1-533c-4945-bda4-8031a1f05079,"https://api.nga.gov/iiif/83eed4c1-533c-4945-bda4-8031a1f05079/full/!200,200/0/default.jpg",1536,1240,,2014-11-11 15:09:48-05
204628,Photograph,1900-1920,photogravure,In the New York Central Yards,ec39f0aa-b26c-446f-ad9a-55c1ba969ab2,https://api.nga.gov/iiif/ec39f0aa-b26c-446f-ad9a-55c1ba969ab2,"https://api.nga.gov/iiif/ec39f0aa-b26c-446f-ad9a-55c1ba969ab2/full/!200,200/0/default.jpg",1244,1536,,2014-11-06 12:33:41-05
204634,Photograph,1900-1920,photogravure,Two Towers—New York,ae0fea6c-3cda-430d-a7e1-984938d42885,https://api.nga.gov/iiif/ae0fea6c-3cda-430d-a7e1-984938d42885,"https://api.nga.gov/iiif/ae0fea6c-3cda-430d-a7e1-984938d42885/full/!200,200/0/default.jpg",1237,1536,,2014-11-11 15:12:14-05
149583,Photograph,1900-1920,photogravure,A Snapshot; Paris [street scene],c8a3ddeb-40b5-42ff-8ab8-d526f863726a,https://api.nga.gov/iiif/c8a3ddeb-40b5-42ff-8ab8-d526f863726a,"https://api.nga.gov/iiif/c8a3ddeb-40b5-42ff-8ab8-d526f863726a/full/!200,200/0/default.jpg",1536,1212,,2014-11-06 12:10:09-05
